id,name,count
4138,immoderateness,2
4142,insomnia,14
5340,investigation,182
6125,pension,6
6149,police,454
1463,culture clash,28
3591,settler,18
3691,forbidden love,49
4090,colony,10
4344,musical,734
4542,gold rush,11
7376,princess,78
9840,romance,237
10322,native american,114
10336,animation,105
160977,virginia,7
165086,star crossed lovers,12
173808,reference to pizarro,1
173811,jamestown virginia,1
173815,pug dog,1
173823,cross cultural relationship,3
173824,musket,2
173825,animate tree,1
180217,indian chief,3
185343,based on myths or folklore,13
207941,17th century,13
208426,shamanism,2
225547,songs,3
230456,indians vs. settlers,1
234183,animal sidekick,4
234184,powhatan,1
234185,land claim,1
1992,professor,87
158718,lgbt,185
3703,law,28
5493,relatives,11
14604,theft,61
15009,criminal,125
18024,hungarian,23
18027,sibling,5
2393,adoption,62
4130,adoptive father,5
5885,childlessness,10
6230,looking for  birth parents,6
8018,adoptive mother,4
208349,child,49
6075,sport,544
9963,kids and family,33
13042,soccer,76
2679,artist,95
6027,music,198
33624,band,26
2672,baltimore,9
4543,thanksgiving,24
7629,family clan,6
155294,family conflict,22
171760,generations conflict,2
3344,letter,46
4461,postman,12
5420,fisherman,40
5933,poet,38
1990,cupboard,4
6186,games,18
6300,puppet,39
33465,parallel world,31
1419,gun,114
2801,self-defense,19
204959,grieving parents,5
1233,composer,30
1310,mentor,16
1635,deaf-mute,18
4488,apprentice,11
5289,private life,5
158558,disabled,30
248,date,33
398,slang,4
898,hip-hop,43
4438,cousin,15
9755,parody,62
10700,hood,12
11514,social satire,20
12425,racism,113
5918,painting,62
167868,seasickness,3
4166,biotope,3
4459,vegetarian,18
6305,pollution,17
2157,hacker,41
4563,virtual reality,45
6104,computer,58
9725,sword fight,67
128,love triangle,153
2335,southern france,12
2918,estate agent,8
3190,menage a trois,23
4580,van,25
970,parent child relationship,80
4562,rapper,16
246,dancing,97
459,sexual obsession,22
797,showdown,41
798,sheriff,123
1664,eroticism,99
2483,nudity,636
2492,bank robber,52
3133,vampire,225
3649,holy water,4
4063,siege,17
6593,stripper,62
10093,priest,107
14601,explosion,116
14687,extreme violence,67
15363,bank robbery,73
18072,preacher,19
18233,hostage situation,8
41380,crucifix,12
163795,recreational vehicle,3
167664,blood spurting,3
168152,convenience store,7
174878,female vampire,16
188711,mexican american border,1
191441,nightclub entertainer,3
227811,boa constrictor,1
258,bomb,73
572,sex,685
772,handcuffs,19
1812,fbi,106
2808,russian,42
4426,sadism,71
4530,parking garage,5
4735,pizza,15
6259,psychopath,133
9714,remake,198
9844,car crash,88
10410,conspiracy,110
10562,on the run,69
10718,fugitive,63
12371,gunfight,71
13125,sadist,24
14967,foot chase,19
15167,police detective,35
15321,police station,16
15483,car chase,78
18525,fbi agent,70
155555,computer hacker,13
156650,machine gun,20
156788,swat team,11
156816,grenade launcher,4
158247,underwater scene,7
176802,rogue agent,5
181145,woman lawyer,2
188294,damsel in distress,11
3616,college,163
745,nun,48
2792,boxer,56
10909,lawyer,168
11508,jewish,52
2778,florist,10
10235,family relationships,144
10624,bully,38
312,man vs machine,21
10158,alien planet,20
15354,struggle for survival,3
6381,loss of daughter,11
6440,hit-and-run driving ,7
9748,revenge,626
10614,tragedy,52
1417,jurors,11
1936,blackmail,131
5153,son,36
11038,trial,52
33519,courtroom,71
1357,fish,28
33648,celebration,38
40846,goldfish,2
494,father son relationship,224
801,bounty hunter,40
1422,boat,74
1587,way of life,4
1909,coffin,36
1977,denver,4
2022,godmother,2
2340,paranoia,77
10738,diner,44
11221,blood,266
236,suicide,312
240,underdog,48
460,free love,25
490,philosophy,42
791,mentally disabled,19
936,loss of mother,49
1842,village life,18
1956,world war ii,394
2383,feminism,33
3154,indian summer ,3
3371,family history,16
4129,widow,106
4402,peasant,35
5331,village,103
6009,mathematics,19
6089,freedom,32
9457,single,56
10180,homosexuality,175
11925,domestic violence,24
13160,university,54
6984,racial segregation,21
11004,rural setting,101
12532,african american,46
4034,class society,13
7579,rich woman - poor man,4
14760,scientist,164
182662,naturalist,3
208526,insect,8
2082,sailing trip,4
2913,diary,33
3180,sailing,18
10349,survival,140
46962,discipline,8
167836,squall,1
167837,sail,1
167843,ship captain,9
167863,male bonding,3
168683,storm at sea,8
208992,1960s,63
5306,boss,16
5572,fistfight,53
14762,orangutan,5
158039,hotel manager,2
169078,nitrous oxide,1
169079,candid camera,2
169085,double act,7
169086,political satire,27
169097,crooked politician,2
477,train station,22
6078,politics,152
10124,laboratory,36
156033,jekyll and hyde,15
191009,housemaid,4
207928,19th century,82
3630,half vampire,3
155808,hometown,15
720,helicopter,85
1261,river,60
1353,underground,29
1825,countdown,8
3203,pilot,84
8122,canyon,5
9052,major,6
13008,train,141
15263,park ranger,3
18034,desert,130
162365,military,64
208547,nuclear device,1
209476,boxing,24
214472,stealth aircraft,1
215861,abandoned mine,3
219869,humvee,2
14531,play,15
185011,hamlet,5
207317,christmas,257
207716,actor,50
376,neo-nazi,11
379,skinhead,17
1974,breakdance,9
1975,arabian,13
3925,boredom,11
14632,suburb,21
15090,police officer,81
156052,unemployment,43
156702,capture,10
160910,xenophobia,35
2398,narration,50
13059,prostitution,121
417,corruption,176
